year,age,gender,population
1930,20,Female,5565382
1930,25,Male,4929853
1930,25,Female,5050229
1930,30,Male,4424408
1930,30,Female,4455213
1930,35,Male,4576531
1930,35,Female,4593776
1930,40,Male,4075139
1930,40,Female,3754022
1930,45,Male,3633152
1930,45,Female,3396558
1930,50,Male,3128108
1930,50,Female,2809191
1930,55,Male,2434077
1930,55,Female,2298614
1930,60,Male,1927564
1930,60,Female,1783515
1930,65,Male,1397275
1930,65,Female,1307312
1930,70,Male,919045
1930,70,Female,918509
1930,75,Male,536375
1930,75,Female,522716
1930,80,Male,246708
1930,80,Female,283579
1930,85,Male,88978
1930,85,Female,109210
1930,90,Male,30338
1930,90,Female,43483
1940,0,Male,5294628
1940,0,Female,5124653
1940,5,Male,5468378
1940,5,Female,5359099
1940,10,Male,5960416
1940,10,Female,5868532
1940,15,Male,6165109
1940,15,Female,6193701
1940,20,Male,5682414
1940,20,Female,5896002
1940,25,Male,5438166
1940,25,Female,5664244
1940,30,Male,5040048
1940,30,Female,5171522
1940,35,Male,4724804
1940,35,Female,4791809
1940,40,Male,4437392
1940,40,Female,4394061
1940,45,Male,4190187
1940,45,Female,4050290
1940,50,Male,3785735
1940,50,Female,3488396
1940,55,Male,2972069
1940,55,Female,2810000
1940,60,Male,2370232
1940,60,Female,2317790
1940,65,Male,1897678
1940,65,Female,1911117
1940,70,Male,1280023
1940,70,Female,1287711
1940,75,Male,713875
1940,75,Female,764915
1940,80,Male,359418
1940,80,Female,414761
1940,85,Male,127303
1940,85,Female,152131
1940,90,Male,42263
1940,90,Female,58119
1950,0,Male,8211806
1950,0,Female,7862267
1950,5,Male,6706601
1950,5,Female,6450863
1950,10,Male,5629744
1950,10,Female,5430835
1950,15,Male,5264129
1950,15,Female,5288742
1950,20,Male,5573308
1950,20,Female,5854227
1950,25,Male,6007254
1950,25,Female,6317332
1950,30,Male,5676022
1950,30,Female,5895178
1950,35,Male,5511364
1950,35,Female,5696261
1950,40,Male,5076985
1950,40,Female,5199224
1950,45,Male,4533177
1950,45,Female,4595842
1950,50,Male,4199164
1950,50,Female,4147295
1950,55,Male,3667351
1950,55,Female,3595158
1950,60,Male,3035038
1950,60,Female,3009768
1950,65,Male,2421234
1950,65,Female,2548250
1950,70,Male,1627920
1950,70,Female,1786831
1950,75,Male,1006530
1950,75,Female,1148469
1950,80,Male,511727
1950,80,Female,637717
1950,85,Male,182821
1950,85,Female,242798
1950,90,Male,54836
1950,90,Female,90766
1960,0,Male,10374975
1960,0,Female,10146999
1960,5,Male,9495503
1960,5,Female,9250741
